-------  ----------------------  ---------------------
h        E_max                   Ratio
-----    lambda: -8              -----
2^(-2)   0.010416553890631675    0
2^(-3)   0.0009552485808486111   10.904547883628316
2^(-4)   0.00010070125778161021  9.48596474256805
2^(-5)   1.1271312943206269e-05  8.934297032565972
2^(-6)   1.3308124925393017e-06  8.469497398314664
2^(-7)   1.6137333602728177e-07  8.246792966554986
2^(-8)   1.9864483946641087e-08  8.123711467197143
2^(-9)   2.4639953410954263e-09  8.061899961957668
2^(-10)  3.0681213125660634e-10  8.030958003530284
2^(-11)  3.8279934777563085e-11  8.014959613683493
-----    lambda: -30             -----
2^(-2)   5.229853746251303e+17   0
2^(-3)   37185176730802.72       14064.350921637817
2^(-4)   0.0005722076676382137   6.498545691336937e+16
2^(-5)   5.6160145995631794e-05  10.18885648343437
2^(-6)   5.935968372727807e-06   9.460991445583467
2^(-7)   6.67418156630184e-07    8.893927013761065
2^(-8)   7.885772479454545e-08   8.463573586088918
2^(-9)   9.577509452185495e-09   8.233635809834766
2^(-10)  1.1799268229140125e-09  8.117036807869448
2^(-11)  1.4642154155808385e-10  8.058423715242393
-------  ----------------------  ---------------------
