--------  ---------------------  ------------------
h         Max error              ratio
           |u(x_j)-U_j|
2^(-1*1)  0.8158313036811942     0
2^(-1*2)  0.4343764772576244     1.8781663980329502
2^(-1*3)  0.22989870044782634    1.8894255444310466
2^(-1*4)  0.11941904417639049    1.9251426942276433
2^(-1*5)  0.06103620548653166    1.9565279857172917
2^(-1*6)  0.030877289200166746   1.9767345860854277
2^(-1*7)  0.015531420615296554   1.988053119220555
2^(-1*8)  0.0077891414663944225  1.9939836350778228
2^(-1*9)  0.0039004306781740272  1.996995231829343
--------  ---------------------  ------------------
